Reference,Value,Quantity
R4,1 kΩ,1
"R5, R6, R11, R12",10 kΩ,4
"C1, C3, C4, C10",10 µF,4
R3,100 kΩ,1
"C2, C6, C8, C9, C11, C12",100 nF,6
L1,2.2 µH,1
R10,330 Ω,1
"R7, R8",4.7 kΩ,2
"C5, C7",4.7 µF,2
"R1, R2","5.1 kΩ, 1%",2
U4,BME280,1
BT1,Battery_Cell,1
"C13, C14, C15, C16",C,4
U2,CP2102N-Axx-xQFN20,1
J2,Conn_01x04,1
J4,Conn_01x04_Pin,1
J5,Conn_01x06_Pin,1
U6,DS3231M,1
D1,D_TVS,1
U3,ESP32-WROOM-32,1
D2,LED,1
"Q1, Q2",MMBT3904,2
J3,Micro_SD_Card_Det1,1
F1,Polyfuse,1
R9,R,1
"SW1, SW2",SW_Push,2
J1,USB_C_Receptacle,1
"U1, U5",~,2
